106 "('Steins;Gate 0', 'https://myanimelist.net/anime/30484/Steins_Gate_0')"
107 "('Tian Guan Ci Fu Special', 'https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special')"
108 "('Uchuu Kyoudai', 'https://myanimelist.net/anime/12431/Uchuu_Kyoudai')"
109 "('Rainbow: Nisha Rokubou no Shichinin', 'https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin')"
110 "('Samurai Champloo', 'https://myanimelist.net/anime/205/Samurai_Champloo')"
111 "(""Vivy: Fluorite Eye's Song"", 'https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song')"
112 "('Hotaru no Haka', 'https://myanimelist.net/anime/578/Hotaru_no_Haka')"
113 "('JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai')"
114 "('Chihayafuru 3', 'https://myanimelist.net/anime/37379/Chihayafuru_3')"
115 "('Gintama: The Semi-Final', 'https://myanimelist.net/anime/44087/Gintama__The_Semi-Final')"
116 "('Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu', 'https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu')"
117 "('Nana', 'https://myanimelist.net/anime/877/Nana')"
118 "('Shingeki no Kyojin Season 2', 'https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2')"
119 "('Mo Dao Zu Shi', 'https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi')"
120 "('Mob Psycho 100', 'https://myanimelist.net/anime/32182/Mob_Psycho_100')"
121 "('Zoku Owarimonogatari', 'https://myanimelist.net/anime/36999/Zoku_Owarimonogatari')"
122 "('Saenai Heroine no Sodatekata Fine', 'https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine')"
123 "('Steins;Gate Movie: Fuka Ryouiki no Déjà vu', 'https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu')"
124 "('Haikyuu!!', 'https://myanimelist.net/anime/20583/Haikyuu')"
125 "('Kobayashi-san Chi no Maid Dragon S', 'https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S')"
126 "('Holo no Graffiti', 'https://myanimelist.net/anime/44042/Holo_no_Graffiti')"
127 "('Kimetsu no Yaiba: Mugen Ressha-hen', 'https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen')"
128 "('Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari', 'https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari')"
129 "('Nichijou', 'https://myanimelist.net/anime/10165/Nichijou')"
130 "('Owarimonogatari', 'https://myanimelist.net/anime/31181/Owarimonogatari')"
131 "('Mo Dao Zu Shi: Xian Yun Pian', 'https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian')"
132 "('Mushishi Zoku Shou: Odoro no Michi', 'https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi')"
133 "('Yuu☆Yuu☆Hakusho', 'https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho')"
134 "('Fumetsu no Anata e', 'https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e')"
135 "('Golden Kamuy 3rd Season', 'https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season')"
136 "('Gintama: Yorinuki Gintama-san on Theater 2D', 'https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D')"
137 "('Mononoke', 'https://myanimelist.net/anime/2246/Mononoke')"
138 "('Saiki Kusuo no Ψ-nan 2', 'https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2')"
139 "('Saiki Kusuo no Ψ-nan', 'https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan')"
140 "('Sayonara no Asa ni Yakusoku no Hana wo Kazarou', 'https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou')"
141 "('Wu Liuqi Zhi Xuanwu Guo Pian', 'https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian')"
142 "('JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season', 'https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season')"
143 "('Koukaku Kidoutai: Stand Alone Complex', 'https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex')"
144 "('Grand Blue', 'https://myanimelist.net/anime/37105/Grand_Blue')"
145 "('Kara no Kyoukai 7: Satsujin Kousatsu (Go)', 'https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go')"
146 "('Kaze ga Tsuyoku Fuiteiru', 'https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru')"
147 "('Kono Oto Tomare! 2nd Season', 'https://myanimelist.net/anime/38889/Kono_Oto_Tomare_2nd_Season')"
148 "('Major S5', 'https://myanimelist.net/anime/5028/Major_S5')"
149 "('Natsume Yuujinchou Movie: Utsusemi ni Musubu', 'https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu')"
150 "('Non Non Biyori Nonstop', 'https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop')"
151 "('Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season', 'https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season')"
152 "('Shingeki no Kyojin: Kuinaki Sentaku', 'https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku')"
153 "('Tensei shitara Slime Datta Ken 2nd Season', 'https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season')"
154 "('3-gatsu no Lion', 'https://myanimelist.net/anime/31646/3-gatsu_no_Lion')"
155 "('Chihayafuru 2', 'https://myanimelist.net/anime/14397/Chihayafuru_2')"
156 "('Gintama°: Aizome Kaori-hen', 'https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen')"
157 "('Komi-san wa, Comyushou desu.', 'https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu')"
158 "('Barakamon', 'https://myanimelist.net/anime/22789/Barakamon')"
159 "('Cross Game', 'https://myanimelist.net/anime/5941/Cross_Game')"
160 "('Houseki no Kuni (TV)', 'https://myanimelist.net/anime/35557/Houseki_no_Kuni_TV')"
161 "('Hunter x Hunter', 'https://myanimelist.net/anime/136/Hunter_x_Hunter')"
162 "('Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen', 'https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen')"
163 "('Natsume Yuujinchou Roku Specials', 'https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials')"
164 "('Usagi Drop', 'https://myanimelist.net/anime/10162/Usagi_Drop')"
165 "('Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou', 'https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou')"
166 "('Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan', 'https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan')"
